,latitude,longitude,hour_of_day,day_of_week,Month,parent_incident_type,Council Districts
296,42.85610113322571,-78.82734276826659,22.0,Monday,7.0,Breaking & Entering,6.0
297,42.8965620515726,-78.87353352113291,23.0,Friday,1.0,Theft,5.0
298,42.841962164076,-78.8246929025002,1.0,Thursday,3.0,Assault,6.0
299,42.947598021424604,-78.8264124786324,10.0,Monday,3.0,Theft,8.0
300,42.871872469759204,-78.8565516596262,0.0,Wednesday,6.0,Breaking & Entering,5.0
301,42.9072081046572,-78.8390939630787,20.0,Friday,12.0,Assault,9.0
302,42.838184317544,-78.83340282411429,17.0,Tuesday,4.0,Theft,6.0
303,42.9232157799419,-78.8053979910655,9.0,Friday,8.0,Breaking & Entering,8.0
304,42.8915918013578,-78.83237160867179,17.0,Thursday,8.0,Breaking & Entering,5.0
305,42.951939619297,-78.90210736835421,12.0,Tuesday,7.0,Theft,1.0
306,42.893504611120896,-78.8885956652987,12.0,Saturday,10.0,Theft,4.0
307,42.925665782755104,-78.81519373470701,12.0,Saturday,9.0,Breaking & Entering,2.0
308,42.9117366527709,-78.81264640482449,2.0,Friday,10.0,Breaking & Entering,2.0
309,42.922282741408,-78.86737894040729,16.0,Saturday,11.0,Theft,7.0
310,42.90874131937,-78.8610495613007,0.0,Wednesday,11.0,Breaking & Entering,4.0
311,42.9230580915652,-78.80072527312329,0.0,Sunday,9.0,Theft,8.0
312,42.912073184536,-78.80898938729779,22.0,Wednesday,6.0,Robbery,2.0
313,42.9282179798537,-78.8768185546867,4.0,Sunday,5.0,Theft,7.0
314,42.9047506723203,-78.8207573205067,3.0,Wednesday,11.0,Robbery,5.0
315,42.9038669460371,-78.8735379084749,16.0,Tuesday,2.0,Theft,4.0
316,42.906028002483204,-78.8843276843295,17.0,Saturday,8.0,Theft,3.0
317,42.8967617350981,-78.8827949745486,15.0,Monday,9.0,Theft,4.0
318,42.8898198004109,-78.8704793313231,23.0,Tuesday,6.0,Theft,4.0
319,42.9113329016973,-78.8524673278951,0.0,Thursday,10.0,Breaking & Entering,4.0
320,42.9090583072469,-78.89012817542759,0.0,Friday,4.0,Assault,3.0
321,42.9131300193984,-78.8860794167278,1.0,Thursday,6.0,Assault,3.0
322,42.9237143289481,-78.8112133180816,1.0,Saturday,3.0,Breaking & Entering,8.0
323,42.915005299524005,-78.892808174024,13.0,Sunday,4.0,Theft,3.0
324,42.8948277992213,-78.8777210719613,17.0,Thursday,6.0,Theft,5.0
325,42.906526035541205,-78.8930643612718,15.0,Wednesday,8.0,Assault,3.0
326,42.941797087252105,-78.8049897179763,0.0,Monday,4.0,Theft,8.0
327,42.9109287244303,-78.83909681482709,15.0,Thursday,3.0,Assault,4.0
328,42.908206825212005,-78.88824842302209,17.0,Thursday,4.0,Theft,3.0
329,42.8900699576935,-78.87315433109421,8.0,Wednesday,3.0,Theft,4.0
